iter	RMSE
0	14.84432519
1	14.23049655
2	13.64774084
3	13.09892039
4	12.58145818
5	12.09142774
6	11.62728312
7	11.18536748
8	10.76770346
9	10.38040172
10	10.00972613
11	9.655861876
12	9.327505826
13	9.01664755
14	8.724364923
15	8.436198232
16	8.172904157
17	7.926441265
18	7.685285622
19	7.452479883
20	7.235984768
21	7.026087581
22	6.833281703
23	6.643014063
24	6.469320047
25	6.299423021
26	6.141921542
27	5.992689258
28	5.84845427
29	5.708634219
30	5.580722854
31	5.452157726
32	5.332731249
33	5.216425504
34	5.109825151
35	5.005848517
36	4.90464044
37	4.801355122
38	4.708247652
39	4.621059831
40	4.531697035
41	4.449051106
42	4.371294704
43	4.292277542
44	4.219231539
45	4.151093644
46	4.084958338
47	4.027651823
48	3.963504527
49	3.905357687
50	3.851594055
51	3.796117485
52	3.744752514
53	3.695922163
54	3.645839203
55	3.601423461
56	3.55732913
57	3.514963712
58	3.473664045
59	3.436381689
60	3.399965943
61	3.364625438
62	3.325970494
63	3.292406738
64	3.260210515
65	3.228436045
66	3.199356403
67	3.169724774
68	3.139156342
69	3.111437174
70	3.084660778
71	3.060698556
72	3.03228252
73	3.010521492
74	2.985916176
75	2.964425831
76	2.943619893
77	2.923337555
78	2.899467504
79	2.880944859
80	2.864122688
81	2.845070944
82	2.829169914
83	2.813730197
84	2.797222139
85	2.780072013
86	2.764069494
87	2.749091112
88	2.734434983
89	2.718384206
90	2.703305509
91	2.689753366
92	2.674050226
93	2.660583012
94	2.648420979
95	2.635027926
96	2.621191784
97	2.608650451
98	2.59756989
99	2.584009135
100	2.572108743
101	2.560488543
102	2.548145112
103	2.538492708
104	2.528103251
105	2.517129623
106	2.508344184
107	2.498469946
108	2.48743151
109	2.478717244
110	2.468044857
111	2.459331529
112	2.450326091
113	2.442097788
114	2.431870898
115	2.424655445
116	2.416237182
117	2.408019467
118	2.400790083
119	2.391103735
120	2.383147277
121	2.373661295
122	2.364247256
123	2.354927836
124	2.348566433
125	2.34127285
126	2.334777733
127	2.327802696
128	2.3230158
129	2.317387761
130	2.31187078
131	2.302160524
132	2.295462256
133	2.287050268
134	2.282592457
135	2.276817624
136	2.270619853
137	2.261186778
138	2.2553973
139	2.250366689
140	2.244568205
141	2.238630467
142	2.234572084
143	2.227175236
144	2.221399922
145	2.216548478
146	2.211993739
147	2.205173564
148	2.200840446
149	2.194821127
150	2.19075011
151	2.185351062
152	2.179815639
153	2.174779312
154	2.167154865
155	2.160963712
156	2.155999666
157	2.151642191
