iter	Passed	Remaining
0	63	44304
1	80	28082
2	95	22283
3	114	19906
4	138	19271
5	157	18176
6	173	17168
7	187	16256
8	211	16274
9	231	16000
10	248	15549
11	272	15651
12	291	15384
13	310	15229
14	330	15081
15	355	15208
16	375	15073
17	395	14972
18	418	14988
19	439	14935
20	458	14831
21	479	14785
22	504	14837
23	523	14735
24	541	14615
25	559	14506
26	578	14421
27	598	14356
28	619	14335
29	640	14298
30	659	14223
31	677	14141
32	696	14072
33	715	14011
34	742	14110
35	761	14036
36	773	13859
37	785	13686
38	803	13624
39	819	13521
40	839	13485
41	857	13436
42	877	13414
43	893	13315
44	914	13311
45	940	13368
46	961	13360
47	1004	13637
48	1031	13705
49	1058	13765
50	1075	13686
51	1093	13627
52	1107	13517
53	1127	13487
54	1145	13428
55	1169	13444
56	1186	13379
57	1203	13325
58	1224	13300
59	1242	13256
60	1258	13179
61	1279	13163
62	1297	13119
63	1314	13063
64	1332	13021
65	1352	12989
66	1369	12935
67	1391	12935
68	1407	12875
69	1421	12796
70	1438	12744
71	1456	12702
72	1473	12653
73	1493	12634
74	1512	12603
75	1533	12591
76	1552	12564
77	1565	12485
78	1587	12479
79	1605	12439
80	1628	12447
81	1652	12454
82	1674	12445
83	1699	12459
84	1726	12491
85	1747	12477
86	1770	12472
87	1795	12489
88	1822	12511
89	1844	12499
90	1867	12497
91	1896	12534
92	1917	12517
93	1936	12483
94	1951	12427
95	1968	12385
96	1986	12346
97	2001	12293
98	2017	12245
99	2035	12210
100	2048	12151
101	2069	12134
102	2085	12085
103	2100	12037
104	2115	11987
105	2134	11958
106	2148	11906
107	2163	11859
108	2179	11818
109	2197	11784
110	2211	11734
111	2228	11701
112	2244	11659
113	2262	11629
114	2282	11610
115	2305	11605
116	2323	11578
117	2341	11549
118	2368	11565
119	2395	11580
120	2417	11567
121	2440	11561
122	2461	11545
123	2478	11514
124	2501	11506
125	2521	11487
126	2538	11451
127	2553	11412
128	2566	11362
129	2581	11320
