feature,importance
productivity_index,38.06872483056584
unmet_obligations_flag,16.969424922506242
prior_violations_count_3y,11.187851698221458
prior_avg_output_growth_pct,4.475339470959024
entitled_amount_kzt,3.30710154279211
prior_refunds_amount_kzt_3y,2.9601727174944026
prior_subsidies_amount_kzt_3y,2.5463006292999197
producer_type,2.346838472153124
prior_avg_revenue_growth_pct,2.128298816731197
ebitda_margin_pct,1.589292420463942
subsidy_program,1.5528135529604832
program_execution_rate_real,1.4675014662515253
past_approved_count,1.3653716818726216
past_rejected_count,1.1852859354939256
past_paid_amount_kzt,1.0794567456556248
akimat,0.914503856571843
region_execution_rate_real,0.8570197746928337
prior_refunds_count_3y,0.8102357263914255
district_execution_rate_real,0.7635357057850841
direction,0.762231626292421
past_avg_entitled_amount_kzt,0.6403883705216952
direction_execution_rate_real,0.4592141171190653
normative_kzt_per_unit,0.39833434101088855
debt_to_revenue_pct,0.3547152206618537
subsidized_units_est,0.31773443680741875
land_area_ha,0.2987876217429581
species,0.2829193446539216
past_withdrawn_count,0.2275423954905038
output_volume_tons,0.15308805059002
region,0.12416122325120538
herd_size_head,0.1009678364278951
revenue_kzt,0.07608082932277732
record_no,0.07347119101983528
producer_application_seq_no,0.037498424438352454
employees_count,0.03273555682759036
prior_subsidies_count_3y,0.029807052885376797
past_applications_count,0.017107432695809437
month,0.015080732780866267
year,0.009994706291568898
day_of_year,0.00672198717354358
received_week,0.005930497452945796
years_in_operation,0.00041703767883044844
quarter,0.0
application_hour,0.0
district,0.0
data_origin,0.0
received_is_weekend,0.0
received_dayofweek,0.0
received_day,0.0
app_dayofweek,0.0
app_is_month_start,0.0
app_is_month_end,0.0
